Cer,[M+C2H3O2]-,NL_C2H4CO2,M-H-H2CO,NL_H2O&SN1,NL_H2O&SN2amide,SN2amide
Cer(d24:0/22:0)+C2H3O2,766.7293,706.7082,674.682,364.3585,349.3473,338.3428
Cer(d24:0/22:1)+C2H3O2,764.7137,704.6926,672.6663,362.3429,349.3473,336.3272
Cer(d24:0/22:2)+C2H3O2,762.698,702.6769,670.6507,360.3272,349.3473,334.3115
Cer(d24:0/22:3)+C2H3O2,760.6824,700.6613,668.635,358.3116,349.3473,332.2959
Cer(d24:0/22:4)+C2H3O2,758.6667,698.6456,666.6194,356.2959,349.3473,330.2802
Cer(d24:0/22:5)+C2H3O2,756.6511,696.63,664.6037,354.2803,349.3473,328.2646
Cer(d24:0/22:6)+C2H3O2,754.6354,694.6143,690.7133,352.2646,349.3473,326.2489
Cer(d24:0/23:0)+C2H3O2,780.745,720.7239,704.7289,378.3742,349.3473,352.3585
Cer(d24:0/24:0)+C2H3O2,794.7606,734.7395,702.7133,392.3898,349.3473,366.3741
Cer(d24:0/24:1)+C2H3O2,792.745,732.7239,718.7446,390.3742,349.3473,364.3585
Cer(d24:0/25:0)+C2H3O2,808.7763,748.7552,732.7602,406.4055,349.3473,380.3898
Cer(d24:0/26:0)+C2H3O2,822.7919,762.7708,480.4785,420.4211,349.3473,394.4054
Cer(d24:0/8:0)+C2H3O2,570.5102,510.4891,506.4942,168.1394,349.3473,142.1237
Cer(d24:1/10:0)+C2H3O2,596.5259,536.5048,534.5255,196.1707,347.3317,170.155
Cer(d24:1/12:0)+C2H3O2,624.5572,564.5361,548.5412,224.202,347.3317,198.1863
Cer(d24:1/13:0)+C2H3O2,638.5729,578.5518,562.5568,238.2177,347.3317,212.202
Cer(d24:1/14:0)+C2H3O2,652.5885,592.5674,560.5412,252.2333,347.3317,226.2176
Cer(d24:1/14:1)+C2H3O2,650.5729,590.5518,576.5725,250.2177,347.3317,224.202
Cer(d24:1/15:0)+C2H3O2,666.6042,606.5831,574.5568,266.249,347.3317,240.2333
Cer(d24:1/15:1)+C2H3O2,664.5885,604.5674,590.5881,264.2333,347.3317,238.2176
Cer(d24:1/16:0)+C2H3O2,680.6198,620.5987,588.5725,280.2646,347.3317,254.2489
Cer(d24:1/16:1)+C2H3O2,678.6042,618.5831,604.6038,278.249,347.3317,252.2333
Cer(d24:1/17:0)+C2H3O2,694.6355,634.6144,602.5881,294.2803,347.3317,268.2646
Cer(d24:1/17:1)+C2H3O2,692.6198,632.5987,600.5725,292.2646,347.3317,266.2489
Cer(d24:1/17:2)+C2H3O2,690.6042,630.5831,618.6194,290.249,347.3317,264.2333
Cer(d24:1/18:0)+C2H3O2,708.6511,648.63,616.6038,308.2959,347.3317,282.2802
Cer(d24:1/18:1)+C2H3O2,706.6355,646.6144,614.5881,306.2803,347.3317,280.2646
Cer(d24:1/18:2)+C2H3O2,704.6198,644.5987,612.5725,304.2646,347.3317,278.2489
Cer(d24:1/18:3)+C2H3O2,702.6042,642.5831,610.5568,302.249,347.3317,276.2333
Cer(d24:1/18:4)+C2H3O2,700.5885,640.5674,632.6351,300.2333,347.3317,274.2176
Cer(d24:1/19:0)+C2H3O2,722.6668,662.6457,646.6507,322.3116,347.3317,296.2959
Cer(d24:1/20:0)+C2H3O2,736.6824,676.6613,644.6351,336.3272,347.3317,310.3115
Cer(d24:1/20:1)+C2H3O2,734.6668,674.6457,642.6194,334.3116,347.3317,308.2959
Cer(d24:1/20:2)+C2H3O2,732.6511,672.63,640.6038,332.2959,347.3317,306.2802
Cer(d24:1/20:3)+C2H3O2,730.6355,670.6144,638.5881,330.2803,347.3317,304.2646
Cer(d24:1/20:4)+C2H3O2,728.6198,668.5987,636.5725,328.2646,347.3317,302.2489
Cer(d24:1/20:5)+C2H3O2,726.6042,666.5831,660.6664,326.249,347.3317,300.2333
Cer(d24:1/21:0)+C2H3O2,750.6981,690.677,674.682,350.3429,347.3317,324.3272
Cer(d24:1/22:0)+C2H3O2,764.7137,704.6926,672.6664,364.3585,347.3317,338.3428
Cer(d24:1/22:1)+C2H3O2,762.6981,702.677,670.6507,362.3429,347.3317,336.3272
Cer(d24:1/22:2)+C2H3O2,760.6824,700.6613,668.6351,360.3272,347.3317,334.3115
Cer(d24:1/22:3)+C2H3O2,758.6668,698.6457,666.6194,358.3116,347.3317,332.2959
Cer(d24:1/22:4)+C2H3O2,756.6511,696.63,664.6038,356.2959,347.3317,330.2802
Cer(d24:1/22:5)+C2H3O2,754.6355,694.6144,662.5881,354.2803,347.3317,328.2646
Cer(d24:1/22:6)+C2H3O2,752.6198,692.5987,688.6977,352.2646,347.3317,326.2489
Cer(d24:1/23:0)+C2H3O2,778.7294,718.7083,702.7133,378.3742,347.3317,352.3585
Cer(d24:1/24:0)+C2H3O2,792.745,732.7239,700.6977,392.3898,347.3317,366.3741
Cer(d24:1/24:1)+C2H3O2,790.7294,730.7083,716.729,390.3742,347.3317,364.3585
Cer(d24:1/25:0)+C2H3O2,806.7607,746.7396,730.7446,406.4055,347.3317,380.3898
Cer(d24:1/26:0)+C2H3O2,820.7763,760.7552,478.4629,420.4211,347.3317,394.4054
Cer(d24:1/8:0)+C2H3O2,568.4946,508.4735,522.5255,168.1394,347.3317,142.1237
Cer(d25:0/10:0)+C2H3O2,612.5572,552.5361,550.5568,196.1707,363.363,170.155
Cer(d25:0/12:0)+C2H3O2,640.5885,580.5674,564.5725,224.202,363.363,198.1863
Cer(d25:0/13:0)+C2H3O2,654.6042,594.5831,578.5881,238.2177,363.363,212.202
Cer(d25:0/14:0)+C2H3O2,668.6198,608.5987,576.5725,252.2333,363.363,226.2176
Cer(d25:0/14:1)+C2H3O2,666.6042,606.5831,592.6038,250.2177,363.363,224.202
Cer(d25:0/15:0)+C2H3O2,682.6355,622.6144,590.5881,266.249,363.363,240.2333
Cer(d25:0/15:1)+C2H3O2,680.6198,620.5987,606.6194,264.2333,363.363,238.2176
Cer(d25:0/16:0)+C2H3O2,696.6511,636.63,604.6038,280.2646,363.363,254.2489
Cer(d25:0/16:1)+C2H3O2,694.6355,634.6144,620.6351,278.249,363.363,252.2333
Cer(d25:0/17:0)+C2H3O2,710.6668,650.6457,618.6194,294.2803,363.363,268.2646
Cer(d25:0/17:1)+C2H3O2,708.6511,648.63,616.6038,292.2646,363.363,266.2489
Cer(d25:0/17:2)+C2H3O2,706.6355,646.6144,634.6507,290.249,363.363,264.2333
Cer(d25:0/18:0)+C2H3O2,724.6824,664.6613,632.6351,308.2959,363.363,282.2802
Cer(d25:0/18:1)+C2H3O2,722.6668,662.6457,630.6194,306.2803,363.363,280.2646
Cer(d25:0/18:2)+C2H3O2,720.6511,660.63,628.6038,304.2646,363.363,278.2489
Cer(d25:0/18:3)+C2H3O2,718.6355,658.6144,626.5881,302.249,363.363,276.2333
Cer(d25:0/18:4)+C2H3O2,716.6198,656.5987,648.6664,300.2333,363.363,274.2176
Cer(d25:0/19:0)+C2H3O2,738.6981,678.677,662.682,322.3116,363.363,296.2959
Cer(d25:0/20:0)+C2H3O2,752.7137,692.6926,660.6664,336.3272,363.363,310.3115
Cer(d25:0/20:1)+C2H3O2,750.6981,690.677,658.6507,334.3116,363.363,308.2959
Cer(d25:0/20:2)+C2H3O2,748.6824,688.6613,656.6351,332.2959,363.363,306.2802
Cer(d25:0/20:3)+C2H3O2,746.6668,686.6457,654.6194,330.2803,363.363,304.2646
Cer(d25:0/20:4)+C2H3O2,744.6511,684.63,652.6038,328.2646,363.363,302.2489
Cer(d25:0/20:5)+C2H3O2,742.6355,682.6144,676.6977,326.249,363.363,300.2333
Cer(d25:0/21:0)+C2H3O2,766.7294,706.7083,690.7133,350.3429,363.363,324.3272
Cer(d25:0/22:0)+C2H3O2,780.745,720.7239,688.6977,364.3585,363.363,338.3428
Cer(d25:0/22:1)+C2H3O2,778.7294,718.7083,686.682,362.3429,363.363,336.3272
Cer(d25:0/22:2)+C2H3O2,776.7137,716.6926,684.6664,360.3272,363.363,334.3115
Cer(d25:0/22:3)+C2H3O2,774.6981,714.677,682.6507,358.3116,363.363,332.2959
Cer(d25:0/22:4)+C2H3O2,772.6824,712.6613,680.6351,356.2959,363.363,330.2802
Cer(d25:0/22:5)+C2H3O2,770.6668,710.6457,678.6194,354.2803,363.363,328.2646
Cer(d25:0/22:6)+C2H3O2,768.6511,708.63,704.729,352.2646,363.363,326.2489
Cer(d25:0/23:0)+C2H3O2,794.7607,734.7396,718.7446,378.3742,363.363,352.3585
Cer(d25:0/24:0)+C2H3O2,808.7763,748.7552,716.729,392.3898,363.363,366.3741
Cer(d25:0/24:1)+C2H3O2,806.7607,746.7396,732.7603,390.3742,363.363,364.3585
Cer(d25:0/25:0)+C2H3O2,822.792,762.7709,746.7759,406.4055,363.363,380.3898
Cer(d25:0/26:0)+C2H3O2,836.8076,776.7865,494.4942,420.4211,363.363,394.4054
Cer(d25:0/8:0)+C2H3O2,584.5259,524.5048,536.5411,168.1394,363.363,142.1237
Cer(d26:0/10:0)+C2H3O2,626.5728,566.5517,564.5724,196.1707,377.3786,170.155
Cer(d26:0/12:0)+C2H3O2,654.6041,594.583,578.5881,224.202,377.3786,198.1863
Cer(d26:0/13:0)+C2H3O2,668.6198,608.5987,592.6037,238.2177,377.3786,212.202
Cer(d26:0/14:0)+C2H3O2,682.6354,622.6143,590.5881,252.2333,377.3786,226.2176
Cer(d26:0/14:1)+C2H3O2,680.6198,620.5987,606.6194,250.2177,377.3786,224.202
Cer(d26:0/15:0)+C2H3O2,696.6511,636.63,604.6037,266.249,377.3786,240.2333
Cer(d26:0/15:1)+C2H3O2,694.6354,634.6143,620.635,264.2333,377.3786,238.2176
Cer(d26:0/16:0)+C2H3O2,710.6667,650.6456,618.6194,280.2646,377.3786,254.2489
Cer(d26:0/16:1)+C2H3O2,708.6511,648.63,634.6507,278.249,377.3786,252.2333
Cer(d26:0/17:0)+C2H3O2,724.6824,664.6613,632.635,294.2803,377.3786,268.2646
Cer(d26:0/17:1)+C2H3O2,722.6667,662.6456,630.6194,292.2646,377.3786,266.2489
Cer(d26:0/17:2)+C2H3O2,720.6511,660.63,648.6663,290.249,377.3786,264.2333
Cer(d26:0/18:0)+C2H3O2,738.698,678.6769,646.6507,308.2959,377.3786,282.2802
Cer(d26:0/18:1)+C2H3O2,736.6824,676.6613,644.635,306.2803,377.3786,280.2646
Cer(d26:0/18:2)+C2H3O2,734.6667,674.6456,642.6194,304.2646,377.3786,278.2489
Cer(d26:0/18:3)+C2H3O2,732.6511,672.63,640.6037,302.249,377.3786,276.2333
Cer(d26:0/18:4)+C2H3O2,730.6354,670.6143,662.682,300.2333,377.3786,274.2176
Cer(d26:0/19:0)+C2H3O2,752.7137,692.6926,676.6976,322.3116,377.3786,296.2959
Cer(d26:0/20:0)+C2H3O2,766.7293,706.7082,674.682,336.3272,377.3786,310.3115
Cer(d26:0/20:1)+C2H3O2,764.7137,704.6926,672.6663,334.3116,377.3786,308.2959
Cer(d26:0/20:2)+C2H3O2,762.698,702.6769,670.6507,332.2959,377.3786,306.2802
Cer(d26:0/20:3)+C2H3O2,760.6824,700.6613,668.635,330.2803,377.3786,304.2646
Cer(d26:0/20:4)+C2H3O2,758.6667,698.6456,666.6194,328.2646,377.3786,302.2489
Cer(d26:0/20:5)+C2H3O2,756.6511,696.63,690.7133,326.249,377.3786,300.2333
Cer(d26:0/21:0)+C2H3O2,780.745,720.7239,704.7289,350.3429,377.3786,324.3272
Cer(d26:0/22:0)+C2H3O2,794.7606,734.7395,702.7133,364.3585,377.3786,338.3428
Cer(d26:0/22:1)+C2H3O2,792.745,732.7239,700.6976,362.3429,377.3786,336.3272
Cer(d26:0/22:2)+C2H3O2,790.7293,730.7082,698.682,360.3272,377.3786,334.3115
Cer(d26:0/22:3)+C2H3O2,788.7137,728.6926,696.6663,358.3116,377.3786,332.2959
Cer(d26:0/22:4)+C2H3O2,786.698,726.6769,694.6507,356.2959,377.3786,330.2802
Cer(d26:0/22:5)+C2H3O2,784.6824,724.6613,692.635,354.2803,377.3786,328.2646
Cer(d26:0/22:6)+C2H3O2,782.6667,722.6456,718.7446,352.2646,377.3786,326.2489
Cer(d26:0/23:0)+C2H3O2,808.7763,748.7552,732.7602,378.3742,377.3786,352.3585
Cer(d26:0/24:0)+C2H3O2,822.7919,762.7708,730.7446,392.3898,377.3786,366.3741
Cer(d26:0/24:1)+C2H3O2,820.7763,760.7552,746.7759,390.3742,377.3786,364.3585
Cer(d26:0/25:0)+C2H3O2,836.8076,776.7865,760.7915,406.4055,377.3786,380.3898
Cer(d26:0/26:0)+C2H3O2,850.8232,790.8021,508.5098,420.4211,377.3786,394.4054
Cer(d26:0/8:0)+C2H3O2,598.5415,538.5204,284.2594,168.1394,377.3786,142.1237
Cer(d8:0/10:0)+C2H3O2,374.2911,314.27,312.2907,196.1707,125.0969,170.155
Cer(d8:0/12:0)+C2H3O2,402.3224,342.3013,326.3064,224.202,125.0969,198.1863
Cer(d8:0/13:0)+C2H3O2,416.3381,356.317,340.322,238.2177,125.0969,212.202
Cer(d8:0/14:0)+C2H3O2,430.3537,370.3326,338.3064,252.2333,125.0969,226.2176
Cer(d8:0/14:1)+C2H3O2,428.3381,368.317,354.3377,250.2177,125.0969,224.202
Cer(d8:0/15:0)+C2H3O2,444.3694,384.3483,352.322,266.249,125.0969,240.2333
Cer(d8:0/15:1)+C2H3O2,442.3537,382.3326,368.3533,264.2333,125.0969,238.2176
Cer(d8:0/16:0)+C2H3O2,458.385,398.3639,366.3377,280.2646,125.0969,254.2489
Cer(d8:0/16:1)+C2H3O2,456.3694,396.3483,382.369,278.249,125.0969,252.2333
Cer(d8:0/17:0)+C2H3O2,472.4007,412.3796,380.3533,294.2803,125.0969,268.2646
Cer(d8:0/17:1)+C2H3O2,470.385,410.3639,378.3377,292.2646,125.0969,266.2489
Cer(d8:0/17:2)+C2H3O2,468.3694,408.3483,396.3846,290.249,125.0969,264.2333
Cer(d8:0/18:0)+C2H3O2,486.4163,426.3952,394.369,308.2959,125.0969,282.2802
Cer(d8:0/18:1)+C2H3O2,484.4007,424.3796,392.3533,306.2803,125.0969,280.2646
Cer(d8:0/18:2)+C2H3O2,482.385,422.3639,390.3377,304.2646,125.0969,278.2489
Cer(d8:0/18:3)+C2H3O2,480.3694,420.3483,388.322,302.249,125.0969,276.2333
Cer(d8:0/18:4)+C2H3O2,478.3537,418.3326,410.4003,300.2333,125.0969,274.2176
Cer(d8:0/19:0)+C2H3O2,500.432,440.4109,424.4159,322.3116,125.0969,296.2959
Cer(d8:0/20:0)+C2H3O2,514.4476,454.4265,422.4003,336.3272,125.0969,310.3115
Cer(d8:0/20:1)+C2H3O2,512.432,452.4109,420.3846,334.3116,125.0969,308.2959
Cer(d8:0/20:2)+C2H3O2,510.4163,450.3952,418.369,332.2959,125.0969,306.2802
Cer(d8:0/20:3)+C2H3O2,508.4007,448.3796,416.3533,330.2803,125.0969,304.2646
Cer(d8:0/20:4)+C2H3O2,506.385,446.3639,414.3377,328.2646,125.0969,302.2489
Cer(d8:0/20:5)+C2H3O2,504.3694,444.3483,438.4316,326.249,125.0969,300.2333
Cer(d8:0/21:0)+C2H3O2,528.4633,468.4422,452.4472,350.3429,125.0969,324.3272
Cer(d8:0/22:0)+C2H3O2,542.4789,482.4578,450.4316,364.3585,125.0969,338.3428
Cer(d8:0/22:1)+C2H3O2,540.4633,480.4422,448.4159,362.3429,125.0969,336.3272
Cer(d8:0/22:2)+C2H3O2,538.4476,478.4265,446.4003,360.3272,125.0969,334.3115
Cer(d8:0/22:3)+C2H3O2,536.432,476.4109,444.3846,358.3116,125.0969,332.2959
Cer(d8:0/22:4)+C2H3O2,534.4163,474.3952,442.369,356.2959,125.0969,330.2802
Cer(d8:0/22:5)+C2H3O2,532.4007,472.3796,440.3533,354.2803,125.0969,328.2646
Cer(d8:0/22:6)+C2H3O2,530.385,470.3639,466.4629,352.2646,125.0969,326.2489
Cer(d8:0/23:0)+C2H3O2,556.4946,496.4735,480.4785,378.3742,125.0969,352.3585
Cer(d8:0/24:0)+C2H3O2,570.5102,510.4891,478.4629,392.3898,125.0969,366.3741
Cer(d8:0/24:1)+C2H3O2,568.4946,508.4735,494.4942,390.3742,125.0969,364.3585
Cer(d8:0/25:0)+C2H3O2,584.5259,524.5048,508.5098,406.4055,125.0969,380.3898
Cer(d8:0/26:0)+C2H3O2,598.5415,538.5204,256.2281,420.4211,125.0969,394.4054
Cer(d8:0/8:0)+C2H3O2,346.2598,286.2387,,168.1394,125.0969,142.1237
