SM,[M+C2H3O2]-,M-CH3,(P-Cho)-CH3-H
SM(47:1)+HCO2,943.785,869.7435,168.0431
SM(47:2)+HCO2,941.7693,867.7278,168.0431
SM(47:3)+HCO2,939.7537,865.7122,168.0431
SM(47:4)+HCO2,937.738,863.6965,168.0431
SM(47:5)+HCO2,935.7224,861.6809,168.0431
SM(47:6)+HCO2,933.7067,859.6652,168.0431
SM(48:0)+HCO2,959.8162,885.7747,168.0431
SM(48:1)+HCO2,957.8006,883.7591,168.0431
SM(48:2)+HCO2,955.7849,881.7434,168.0431
SM(48:3)+HCO2,953.7693,879.7278,168.0431
SM(48:4)+HCO2,951.7536,877.7121,168.0431
SM(48:5)+HCO2,949.738,875.6965,168.0431
SM(48:6)+HCO2,947.7223,873.6808,168.0431
SM(49:0)+HCO2,973.8319,899.7904,168.0431
SM(49:1)+HCO2,971.8163,897.7748,168.0431
SM(50:0)+HCO2,987.8475,913.806,168.0431
SM(50:1)+HCO2,985.8319,911.7904,168.0431
SM(51:0)+HCO2,1001.8632,927.8217,168.0431
SM(52:0)+HCO2,1015.8788,941.8373,168.0431
